note_id,fact_no,station,category,subject,status,source,confirms,cause,alt_station,alt_category,alt_status
1,1,st012,material,BL-4471,open,S1,,,,,
2,1,st012,people,OP-B2,info,P1,,,,,
2,2,st012,material,BL-4471,fixed,S1,,,,,
3,1,st012,people,OP-B2,info,answer,no,machine,,,
4,1,st012,material,BL-4471,info,answer,yes,station,,,
5,1,st012,people,OP-C1,monitoring,P2,,,,,
6,1,st012,method,WI-012 v4,open,T1,,,,,
6,2,st013,method,WI-013 v7,info,decoy-wi,,,,,
7,1,st012,people,OP-C1,info,answer,yes,people,,,
9,1,st012,method,WI-012 v4,info,answer,yes,method,,,
11,1,line,it,MES,fixed,S3,,,,,
11,2,st013,safety,coolant puddle,open,floor-only,,,,,
12,1,line,it,MES,info,answer,unclear,,st013,,
13,1,st012,machine,NR-012,monitoring,M1-early,,,,,
13,2,st012,method,WI-012 v5,fixed,T1,,,,,
13,3,st012,safety,light curtain,open,floor-only,,,,,
14,1,st012,machine,NR-012,open,M1,,,,,
14,2,st012,people,OP-C1,monitoring,P2,,,,,
14,3,st012,supply,ST011,fixed,S2,,,,,
15,1,st012,machine,NR-012,fixed,repair,,,,,
16,1,st012,machine,NR-012,info,answer,yes,machine,,,
17,1,st012,machine,NR-012,fixed,M1,,,,,
19,1,st013,machine,CF-013,monitoring,M2-early,,,,,
19,2,st012,people,OP-C1,monitoring,P2,,,,,
19,3,,people,OP-C4,monitoring,P3,,,,,
20,1,st013,machine,CF-013,open,M2,,,,,
20,2,st012,method,WI-012 v6,info,decoy-wi,,,,,
21,1,st013,machine,CF-013,fixed,repair,,,,,
22,1,st013,machine,CF-013,fixed,M2,,,,,
24,1,st012,machine,NR-012,fixed,decoy-repair,,,,,info
25,1,st012,machine,NR-012,fixed,decoy-repair,,,,,info
26,1,,people,OP-B4,monitoring,P4,,,,,
26,2,st013,method,WI-013 v8,open,T2,,,,,
26,3,st013,other,,info,floor-only,,,,safety,
27,1,st013,method,WI-013 v8,info,answer,yes,method,,,
28,1,st013,method,WI-013 v8,open,T2,,,,,
31,1,st012,people,OP-C1,monitoring,P2,,,,,
