level,station,event_id,operator_id,shift_date,shift,pattern
cycle,st012,284,OP-A2,2026-09-14,A,silent_struggle
cycle,st012,455,OP-A4,2026-09-14,A,silent_struggle
cycle,st012,499,OP-A4,2026-09-14,A,retry_burst
cycle,st012,1195,OP-C1,2026-09-14,C,rushed_cycle
cycle,st012,1887,OP-A2,2026-09-15,A,silent_struggle
cycle,st012,2033,OP-A3,2026-09-15,A,silent_struggle
cycle,st012,2113,OP-A4,2026-09-15,A,silent_struggle
cycle,st012,2208,OP-B1,2026-09-15,B,rushed_cycle
cycle,st012,2527,OP-B3,2026-09-15,B,silent_struggle
cycle,st012,2647,OP-B4,2026-09-15,B,rushed_cycle
cycle,st012,2766,OP-C1,2026-09-15,C,silent_struggle
cycle,st012,2831,OP-C2,2026-09-15,C,rushed_cycle
cycle,st012,2936,OP-C2,2026-09-15,C,andon_no_response
cycle,st012,3596,OP-A4,2026-09-16,A,retry_burst
cycle,st012,3686,OP-A4,2026-09-16,A,retry_burst
cycle,st012,3818,OP-B1,2026-09-16,B,andon_no_response
cycle,st012,3949,OP-B2,2026-09-16,B,silent_struggle
cycle,st012,3992,OP-B3,2026-09-16,B,andon_no_response
cycle,st012,4083,OP-B3,2026-09-16,B,silent_struggle
cycle,st012,4093,OP-B3,2026-09-16,B,silent_struggle
cycle,st012,4217,OP-B4,2026-09-16,B,silent_struggle
cycle,st012,4459,OP-C3,2026-09-16,C,retry_burst
cycle,st012,4518,OP-C3,2026-09-16,C,andon_no_response
cycle,st012,4609,OP-C4,2026-09-16,C,silent_struggle
cycle,st012,4805,OP-A1,2026-09-17,A,silent_struggle
cycle,st012,4946,OP-A2,2026-09-17,A,silent_struggle
cycle,st012,5100,OP-A4,2026-09-17,A,silent_struggle
cycle,st012,5289,OP-B1,2026-09-17,B,silent_struggle
cycle,st012,5338,OP-B1,2026-09-17,B,andon_no_response
cycle,st012,5369,OP-B2,2026-09-17,B,andon_no_response
cycle,st012,5687,OP-B4,2026-09-17,B,retry_burst
cycle,st012,5727,OP-B4,2026-09-17,B,silent_struggle
cycle,st012,5771,OP-B4,2026-09-17,B,rushed_cycle
cycle,st012,5799,OP-C1,2026-09-17,C,silent_struggle
cycle,st012,5918,OP-A2,2026-09-17,C,off_shift
cycle,st012,5919,OP-A2,2026-09-17,C,off_shift
cycle,st012,5920,OP-A2,2026-09-17,C,off_shift
cycle,st012,5921,OP-A2,2026-09-17,C,off_shift
cycle,st012,5922,OP-A2,2026-09-17,C,off_shift
cycle,st012,5923,OP-A2,2026-09-17,C,off_shift
cycle,st012,5924,OP-A2,2026-09-17,C,off_shift
cycle,st012,5925,OP-A2,2026-09-17,C,off_shift
cycle,st012,5926,OP-A2,2026-09-17,C,off_shift
cycle,st012,5927,OP-A2,2026-09-17,C,off_shift
cycle,st012,5928,OP-A2,2026-09-17,C,off_shift
cycle,st012,5929,OP-A2,2026-09-17,C,off_shift
cycle,st012,5930,OP-A2,2026-09-17,C,off_shift
cycle,st012,5931,OP-A2,2026-09-17,C,off_shift
cycle,st012,5932,OP-A2,2026-09-17,C,off_shift
cycle,st012,5933,OP-A2,2026-09-17,C,off_shift
cycle,st012,5934,OP-A2,2026-09-17,C,off_shift
cycle,st012,5935,OP-A2,2026-09-17,C,off_shift
cycle,st012,5936,OP-A2,2026-09-17,C,off_shift
cycle,st012,5937,OP-A2,2026-09-17,C,off_shift
cycle,st012,5938,OP-A2,2026-09-17,C,off_shift
cycle,st012,5939,OP-A2,2026-09-17,C,off_shift
cycle,st012,5940,OP-A2,2026-09-17,C,off_shift
cycle,st012,5941,OP-A2,2026-09-17,C,off_shift
cycle,st012,5942,OP-A2,2026-09-17,C,off_shift
cycle,st012,5943,OP-A2,2026-09-17,C,off_shift
cycle,st012,5944,OP-A2,2026-09-17,C,off_shift
cycle,st012,5945,OP-A2,2026-09-17,C,off_shift
cycle,st012,5946,OP-A2,2026-09-17,C,off_shift
cycle,st012,5947,OP-A2,2026-09-17,C,off_shift
cycle,st012,5948,OP-A2,2026-09-17,C,off_shift
cycle,st012,5949,OP-A2,2026-09-17,C,off_shift
cycle,st012,5950,OP-A2,2026-09-17,C,off_shift
cycle,st012,5951,OP-A2,2026-09-17,C,off_shift
cycle,st012,5952,OP-A2,2026-09-17,C,off_shift
cycle,st012,5953,OP-A2,2026-09-17,C,off_shift
cycle,st012,5954,OP-A2,2026-09-17,C,off_shift
cycle,st012,5955,OP-A2,2026-09-17,C,off_shift
cycle,st012,5956,OP-A2,2026-09-17,C,off_shift
cycle,st012,5957,OP-A2,2026-09-17,C,off_shift
cycle,st012,5958,OP-A2,2026-09-17,C,off_shift
cycle,st012,5959,OP-A2,2026-09-17,C,off_shift
cycle,st012,5960,OP-A2,2026-09-17,C,off_shift
cycle,st012,5961,OP-A2,2026-09-17,C,off_shift
cycle,st012,5962,OP-A2,2026-09-17,C,off_shift
cycle,st012,5963,OP-A2,2026-09-17,C,off_shift
cycle,st012,5964,OP-A2,2026-09-17,C,off_shift
cycle,st012,5965,OP-A2,2026-09-17,C,off_shift
cycle,st012,5966,OP-A2,2026-09-17,C,off_shift
cycle,st012,5967,OP-A2,2026-09-17,C,off_shift
cycle,st012,5968,OP-A2,2026-09-17,C,off_shift
cycle,st012,5969,OP-A2,2026-09-17,C,off_shift
cycle,st012,5970,OP-A2,2026-09-17,C,off_shift
cycle,st012,5971,OP-A2,2026-09-17,C,off_shift
cycle,st012,5972,OP-A2,2026-09-17,C,off_shift
cycle,st012,5973,OP-A2,2026-09-17,C,off_shift
cycle,st012,5974,OP-A2,2026-09-17,C,off_shift
cycle,st012,5975,OP-A2,2026-09-17,C,off_shift
cycle,st012,5976,OP-A2,2026-09-17,C,off_shift
cycle,st012,5977,OP-A2,2026-09-17,C,off_shift
cycle,st012,5978,OP-A2,2026-09-17,C,off_shift
cycle,st012,5979,OP-A2,2026-09-17,C,off_shift
cycle,st012,5980,OP-A2,2026-09-17,C,off_shift
cycle,st012,5981,OP-A2,2026-09-17,C,off_shift
cycle,st012,5982,OP-A2,2026-09-17,C,off_shift
cycle,st012,5983,OP-A2,2026-09-17,C,off_shift
cycle,st012,5984,OP-A2,2026-09-17,C,off_shift
cycle,st012,5985,OP-A2,2026-09-17,C,off_shift
cycle,st012,5986,OP-A2,2026-09-17,C,off_shift
cycle,st012,5987,OP-A2,2026-09-17,C,off_shift
cycle,st012,5988,OP-A2,2026-09-17,C,off_shift
cycle,st012,5989,OP-A2,2026-09-17,C,off_shift
cycle,st012,5990,OP-A2,2026-09-17,C,off_shift
cycle,st012,5991,OP-A2,2026-09-17,C,off_shift
cycle,st012,5992,OP-A2,2026-09-17,C,off_shift
cycle,st012,5993,OP-A2,2026-09-17,C,off_shift
cycle,st012,5994,OP-A2,2026-09-17,C,off_shift
cycle,st012,5995,OP-A2,2026-09-17,C,off_shift
cycle,st012,5996,OP-A2,2026-09-17,C,off_shift
cycle,st012,5997,OP-A2,2026-09-17,C,off_shift
cycle,st012,5998,OP-A2,2026-09-17,C,off_shift
cycle,st012,5999,OP-A2,2026-09-17,C,off_shift
cycle,st012,6000,OP-A2,2026-09-17,C,off_shift
cycle,st012,6001,OP-A2,2026-09-17,C,off_shift
cycle,st012,6002,OP-A2,2026-09-17,C,off_shift
cycle,st012,6003,OP-A2,2026-09-17,C,off_shift
cycle,st012,6004,OP-A2,2026-09-17,C,off_shift
cycle,st012,6005,OP-A2,2026-09-17,C,off_shift
cycle,st012,6006,OP-A2,2026-09-17,C,off_shift
cycle,st012,6007,OP-A2,2026-09-17,C,off_shift
cycle,st012,6008,OP-A2,2026-09-17,C,off_shift
cycle,st012,6009,OP-A2,2026-09-17,C,off_shift
cycle,st012,6010,OP-A2,2026-09-17,C,off_shift
cycle,st012,6011,OP-A2,2026-09-17,C,off_shift
cycle,st012,6012,OP-A2,2026-09-17,C,off_shift
cycle,st012,6013,OP-A2,2026-09-17,C,off_shift
cycle,st012,6014,OP-A2,2026-09-17,C,off_shift
cycle,st012,6015,OP-A2,2026-09-17,C,off_shift
cycle,st012,6016,OP-A2,2026-09-17,C,off_shift
cycle,st012,6017,OP-A2,2026-09-17,C,off_shift
cycle,st012,6018,OP-A2,2026-09-17,C,off_shift
cycle,st012,6019,OP-A2,2026-09-17,C,off_shift
cycle,st012,6020,OP-A2,2026-09-17,C,off_shift
cycle,st012,6021,OP-A2,2026-09-17,C,off_shift
cycle,st012,6022,OP-A2,2026-09-17,C,off_shift
cycle,st012,6023,OP-A2,2026-09-17,C,off_shift
cycle,st012,6024,OP-A2,2026-09-17,C,off_shift
cycle,st012,6025,OP-A2,2026-09-17,C,off_shift
cycle,st012,6026,OP-A2,2026-09-17,C,off_shift
cycle,st012,6027,OP-A2,2026-09-17,C,off_shift
cycle,st012,6028,OP-A2,2026-09-17,C,off_shift
cycle,st012,6029,OP-A2,2026-09-17,C,off_shift
cycle,st012,6030,OP-A2,2026-09-17,C,off_shift
cycle,st012,6031,OP-A2,2026-09-17,C,off_shift
cycle,st012,6032,OP-A2,2026-09-17,C,off_shift
cycle,st012,6033,OP-A2,2026-09-17,C,off_shift
cycle,st012,6034,OP-A2,2026-09-17,C,off_shift
cycle,st012,6035,OP-A2,2026-09-17,C,off_shift
cycle,st012,6036,OP-A2,2026-09-17,C,off_shift
cycle,st012,6037,OP-A2,2026-09-17,C,off_shift
cycle,st012,6038,OP-A2,2026-09-17,C,off_shift
cycle,st012,6039,OP-A2,2026-09-17,C,off_shift
cycle,st012,6040,OP-A2,2026-09-17,C,off_shift
cycle,st012,6041,OP-A2,2026-09-17,C,off_shift
cycle,st012,6042,OP-A2,2026-09-17,C,off_shift
cycle,st012,6043,OP-A2,2026-09-17,C,off_shift
cycle,st012,6044,OP-A2,2026-09-17,C,off_shift
cycle,st012,6045,OP-A2,2026-09-17,C,off_shift
cycle,st012,6046,OP-A2,2026-09-17,C,off_shift
cycle,st012,6047,OP-A2,2026-09-17,C,off_shift
cycle,st012,6048,OP-A2,2026-09-17,C,off_shift
cycle,st012,6049,OP-A2,2026-09-17,C,off_shift
cycle,st012,6050,OP-A2,2026-09-17,C,off_shift
cycle,st012,6051,OP-A2,2026-09-17,C,off_shift
cycle,st012,6052,OP-A2,2026-09-17,C,off_shift
cycle,st012,6053,OP-A2,2026-09-17,C,off_shift
cycle,st012,6054,OP-A2,2026-09-17,C,off_shift
cycle,st012,6055,OP-A2,2026-09-17,C,off_shift
cycle,st012,6056,OP-A2,2026-09-17,C,off_shift
cycle,st012,6057,OP-A2,2026-09-17,C,off_shift
cycle,st012,6058,OP-A2,2026-09-17,C,off_shift
cycle,st012,6059,OP-A2,2026-09-17,C,off_shift
cycle,st012,6374,OP-A1,2026-09-18,A,rushed_cycle
cycle,st012,6420,OP-A1,2026-09-18,A,silent_struggle
cycle,st012,6620,OP-A3,2026-09-18,A,rushed_cycle
cycle,st012,6751,OP-A4,2026-09-18,A,rushed_cycle
cycle,st012,7025,OP-B2,2026-09-18,B,retry_burst
cycle,st012,7297,OP-B4,2026-09-18,B,retry_burst
cycle,st012,8161,OP-A2,2026-09-19,A,rushed_cycle
cycle,st012,8238,OP-A2,2026-09-19,A,rushed_cycle
cycle,st012,8565,OP-B1,2026-09-19,B,rushed_cycle
cycle,st012,8812,OP-B2,2026-09-19,B,silent_struggle
cycle,st012,9081,OP-C1,2026-09-19,C,silent_struggle
cycle,st012,9234,OP-C2,2026-09-19,C,silent_struggle
cycle,st012,9297,OP-C2,2026-09-19,C,silent_struggle
cycle,st012,9670,OP-A1,2026-09-20,A,rushed_cycle
cycle,st012,9726,OP-A1,2026-09-20,A,andon_no_response
cycle,st012,9772,OP-A2,2026-09-20,A,rushed_cycle
cycle,st012,9853,OP-A2,2026-09-20,A,silent_struggle
cycle,st012,9984,OP-A3,2026-09-20,A,rushed_cycle
cycle,st012,10290,OP-B1,2026-09-20,B,silent_struggle
cycle,st012,10320,OP-B2,2026-09-20,B,retry_burst
cycle,st012,10342,OP-B2,2026-09-20,B,retry_burst
cycle,st012,10372,OP-B2,2026-09-20,B,silent_struggle
cycle,st012,10435,OP-B2,2026-09-20,B,rushed_cycle
cycle,st012,11096,OP-C3,2026-09-20,C,rushed_cycle
cycle,st013,229,OP-A3,2026-09-14,A,retry_burst
cycle,st013,561,OP-A1,2026-09-14,A,rushed_cycle
cycle,st013,766,OP-B3,2026-09-14,B,silent_struggle
cycle,st013,970,OP-B4,2026-09-14,B,silent_struggle
cycle,st013,1047,OP-B1,2026-09-14,B,rushed_cycle
cycle,st013,1060,OP-B1,2026-09-14,B,retry_burst
cycle,st013,1131,OP-C2,2026-09-14,C,rushed_cycle
cycle,st013,1275,OP-C3,2026-09-14,C,rushed_cycle
cycle,st013,1376,OP-C3,2026-09-14,C,andon_no_response
cycle,st013,1481,OP-C4,2026-09-14,C,rushed_cycle
cycle,st013,1883,OP-A3,2026-09-15,A,rushed_cycle
cycle,st013,2006,OP-A4,2026-09-15,A,andon_no_response
cycle,st013,2050,OP-A4,2026-09-15,A,rushed_cycle
cycle,st013,2192,OP-B2,2026-09-15,B,retry_burst
cycle,st013,2279,OP-B2,2026-09-15,B,retry_burst
cycle,st013,2755,OP-C2,2026-09-15,C,silent_struggle
cycle,st013,2819,OP-C2,2026-09-15,C,retry_burst
cycle,st013,3695,OP-A1,2026-09-16,A,silent_struggle
cycle,st013,3706,OP-B2,2026-09-16,B,silent_struggle
cycle,st013,3721,OP-B2,2026-09-16,B,retry_burst
cycle,st013,3750,OP-B2,2026-09-16,B,retry_burst
cycle,st013,3999,OP-B4,2026-09-16,B,andon_no_response
cycle,st013,4059,OP-B4,2026-09-16,B,silent_struggle
cycle,st013,4260,OP-C2,2026-09-16,C,andon_no_response
cycle,st013,4315,OP-C2,2026-09-16,C,silent_struggle
cycle,st013,4359,OP-C3,2026-09-16,C,silent_struggle
cycle,st013,4871,OP-A3,2026-09-17,A,andon_no_response
cycle,st013,4932,OP-A3,2026-09-17,A,rushed_cycle
cycle,st013,5004,OP-A4,2026-09-17,A,silent_struggle
cycle,st013,5256,OP-B2,2026-09-17,B,retry_burst
cycle,st013,5337,OP-B2,2026-09-17,B,andon_no_response
cycle,st013,5403,OP-B3,2026-09-17,B,silent_struggle
cycle,st013,5528,OP-B4,2026-09-17,B,retry_burst
cycle,st013,5534,OP-B4,2026-09-17,B,silent_struggle
cycle,st013,5674,OP-B1,2026-09-17,B,andon_no_response
cycle,st013,5860,OP-C2,2026-09-17,C,andon_no_response
cycle,st013,5915,OP-C2,2026-09-17,C,retry_burst
cycle,st013,6220,OP-C1,2026-09-17,C,silent_struggle
cycle,st013,6299,OP-C1,2026-09-17,C,silent_struggle
cycle,st013,6361,OP-A2,2026-09-18,A,silent_struggle
cycle,st013,6655,OP-A4,2026-09-18,A,rushed_cycle
cycle,st013,6686,OP-A4,2026-09-18,A,silent_struggle
cycle,st013,7161,OP-B3,2026-09-18,B,rushed_cycle
cycle,st013,7171,OP-B4,2026-09-18,B,silent_struggle
cycle,st013,7225,OP-B4,2026-09-18,B,rushed_cycle
cycle,st013,7332,OP-B1,2026-09-18,B,rushed_cycle
cycle,st013,7385,OP-B1,2026-09-18,B,retry_burst
cycle,st013,7399,OP-B1,2026-09-18,B,silent_struggle
cycle,st013,7409,OP-B1,2026-09-18,B,rushed_cycle
cycle,st013,7419,OP-C2,2026-09-18,C,silent_struggle
cycle,st013,7674,OP-C3,2026-09-18,C,andon_no_response
cycle,st013,7710,OP-C4,2026-09-18,C,silent_struggle
cycle,st013,8154,OP-A3,2026-09-19,A,retry_burst
